society,price,price_per_sqft,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Environment Rating,Lifestyle Rating ,Connectivity Rating,Saftey Rating,furnishing_status,Private Garden / Terrace,Maintenance Staff,Water Storage,Park,Visitor Parking,Waste Disposal,Rain Water Harvesting,Security,cumulative_weight,latitude,longitude,region_cluster
Gated Community,3.05,17650,1728,5,5,2,2,1,10+ Year Old,4,4,5,4,Fully Furnished,0,0,0,1,1,0,0,1,1,28.4601,77.02635,0
Gated Community,5.9,24280,2430,4,5,2,2,0,1 to 5 Year Old,5,4,3,4,Fully Furnished,0,1,1,1,1,0,0,1,0.5,28.462276,77.0410012,0
Gated Community,5.85,26423,2214,4,5,3+,2,0,1 to 5 Year Old,5,4,3,4,Fully Furnished,0,1,1,1,1,0,0,1,0.5,28.462276,77.0410012,0
Gated Community,4,6666,6001,4,4,3+,2,2,1 to 5 Year Old,5,4,4,4,Fully Furnished,1,1,1,0,0,0,0,1,0.5,28.3846684,77.0220391,0
Gated Community,5.35,8916,6000,4,4,3+,3,1,1 to 5 Year Old,5,4,4,4,Fully Furnished,1,1,1,0,0,0,0,1,3.5,28.3846684,77.0220391,0
independent,6.6,36667,1800,6,7,3+,2,0,5 to 10 Year Old,5,5,5,5,Fully Furnished,1,1,1,0,0,0,0,0,1.5,28.4601,77.02635,0
Gated Community,6.3,9000,6430.5,4,5,3+,2,7,1 to 5 Year Old,5,4,3,4,Fully Furnished,1,1,0,1,1,0,0,1,0,28.4726807,77.090741,0
Gated Community,12,20000,6000,5,6,3,2,2,1 to 5 Year Old,5,4,3,4,Fully Furnished,1,1,1,0,0,0,0,1,1.5,28.4601,77.02635,0
independent,0.65,9028,720,3,2,1,1,0,1 to 5 Year Old,4,4,4,4,Fully Furnished,0,0,1,1,1,0,0,0,1.5,28.493768,77.00577,0
independent,0.55,4074,1350,3,3,2,2,4,1 to 5 Year Old,4,4,5,4,Fully Furnished,0,0,0,1,1,1,0,0,0.5,28.4601,77.02635,0
independent,0.85,630,6430.5,3,3,1,1,1,1 to 5 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0.5,28.4601,77.02635,0
independent,0.58,86567,67,2,2,1,2,7,5 to 10 Year Old,4,4,5,4,Fully Furnished,0,0,1,0,0,0,0,0,1.5,28.4601,77.02635,0
independent,0.65,92857,70,1,1,1,1,5,5 to 10 Year Old,4,4,5,4,Fully Furnished,0,0,1,1,1,0,1,0,0.5,28.4601,77.02635,0
independent,0.61,100000,61,2,2,2,2,5,5 to 10 Year Old,4,4,5,4,Fully Furnished,0,0,1,0,0,0,1,0,0.5,28.4601,77.02635,0
independent,0.67,88157,76,3,3,2,2,4,1 to 5 Year Old,4,4,5,4,Fully Furnished,0,0,0,1,1,0,0,0,0.5,28.4601,77.02635,0
Gated Community,5.8,29974,1935,6,6,3,2,6,1 to 5 Year Old,5,5,5,5,Fully Furnished,1,1,1,1,1,1,1,0,1,28.4545693,77.0826249,0
